Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country
134,U Kaul,18-11-1972,Left_Hand,NULL,India
135,TM Dilshan,19-11-1972,Right_Hand,Right-arm offbreak,Sri Lanka
136,A Mishra,20-11-1972,Right_Hand,Legbreak,India
137,AD Mascarenhas,21-11-1972,Right_Hand,Right-arm fast-medium,England
138,NK Patel,22-11-1972,Left_Hand,NULL,India
139,LA Pomersbach,23-11-1972,Left_Hand,Right-arm offbreak,Australia
140,Iqbal Abdulla,24-11-1972,Left_Hand,Slow left-arm orthodox,India
141,Younis Khan,25-11-1972,Right_Hand,Right-arm medium,Pakistan
142,PM Sarvesh Kumar,26-11-1972,Right_Hand,Right-arm medium,India
143,DP Vijaykumar,27-11-1972,Right_Hand,Right-arm medium,India
144,Shoaib Akhtar,28-11-1972,Right_Hand,Right-arm fast,Pakistan
145,Abdur Razzak,29-11-1972,Left_Hand,Slow left-arm orthodox,Bangladesh
146,H Das,30-11-1972,Right_Hand,NULL,India
147,DR Smith,01-12-1972,Right_Hand,Right-arm medium,West Indies
148,SD Chitnis,02-12-1972,Right_Hand,Right-arm offbreak,India
149,CRD Fernando,03-12-1972,Right_Hand,Right-arm fast-medium,Sri Lanka
150,VS Yeligati,04-12-1972,Right_Hand,Right-arm offbreak,India
151,L Balaji,05-12-1972,Right_Hand,Right-arm medium-fast,India
152,A Mukund,06-12-1972,Left_Hand,Legbreak googly,India
153,RR Powar,07-12-1972,Right_Hand,Right-arm offbreak,India
154,JP Duminy,08-12-1972,Left_Hand,Right-arm offbreak,South Africa
155,A Flintoff,09-12-1972,Right_Hand,Right-arm fast-medium,England
156,T Thushara,10-12-1972,Left_Hand,Left-arm fast-medium,Sri Lanka
157,JD Ryder,11-12-1972,Left_Hand,Right-arm medium,New Zealand
158,KP Pietersen,12-12-1972,Right_Hand,Right-arm offbreak,South Africa
159,T Henderson,13-12-1972,Right_Hand,Right-arm fast-medium,South Africa
160,Kamran Khan,14-12-1972,Left_Hand,Left-arm medium-fast,India
161,RS Bopara,15-12-1972,Right_Hand,Right-arm medium,England
162,CH Gayle,16-12-1972,Left_Hand,Right-arm offbreak,West Indies
163,MC Henriques,17-12-1972,Right_Hand,Right-arm fast-medium,Australia
164,R Bishnoi,18-12-1972,Right_Hand,Right-arm medium-fast,India
165,FH Edwards,19-12-1972,Right_Hand,Right-arm fast,West Indies
166,KV Sharma,20-12-1972,Left_Hand,Legbreak googly,India
167,PC Valthaty,21-12-1972,Right_Hand,Right-arm medium,India
168,RJ Quiney,22-12-1972,Left_Hand,Right-arm medium,Australia
169,AS Raut,23-12-1972,Right_Hand,Legbreak googly,India
170,Yashpal Singh,24-12-1972,Right_Hand,Right-arm medium,India
171,M Manhas,25-12-1972,Right_Hand,Right-arm offbreak,India
172,AA Bilakhia,26-12-1972,Right_Hand,Right-arm medium,India
173,AN Ghosh,27-12-1972,Right_Hand,Right-arm medium,India
174,BAW Mendis,28-12-1972,Right_Hand,Right-arm offbreak,Sri Lanka
175,DL Vettori,29-12-1972,Left_Hand,Slow left-arm orthodox,New Zealand
176,MN van Wyk,30-12-1972,Right_Hand,Slow left-arm orthodox,South Africa
177,RE van der Merwe,31-12-1972,Right_Hand,Slow left-arm orthodox,South Africa
178,TL Suman,01-01-1973,Right_Hand,Right-arm offbreak,India
179,Shoaib Ahmed,02-01-1973,Right_Hand,Right-arm fast-medium,Pakistan
180,GR Napier,03-01-1973,Right_Hand,Right-arm medium,England
181,KP Appanna,04-01-1973,Right_Hand,Slow left-arm orthodox,India
182,LA Carseldine,05-01-1973,Left_Hand,Left-arm medium,Australia
183,NV Ojha,06-01-1973,Right_Hand,NULL,India
184,SM Harwood,07-01-1973,Right_Hand,Right-arm fast-medium,Australia
185,M Vijay,08-01-1973,Right_Hand,Right-arm offbreak,India
186,SB Jakati,09-01-1973,Left_Hand,Slow left-arm orthodox,India
187,DA Warner,10-01-1973,Left_Hand,Legbreak,Australia
188,RJ Harris,11-01-1973,Right_Hand,Right-arm fast,Australia
189,D du Preez,12-01-1973,Right_Hand,Right-arm fast-medium,South Africa
190,M Morkel,13-01-1973,Left_Hand,Right-arm fast,South Africa
191,AD Mathews,14-01-1973,Right_Hand,Right-arm fast-medium,Sri Lanka
192,J Botha,15-01-1973,Right_Hand,Right-arm offbreak,South Africa
193,C Nanda,16-01-1973,Right_Hand,Legbreak,India
194,SL Malinga,17-01-1973,Right_Hand,Right-arm fast,Sri Lanka
195,Mashrafe Mortaza,18-01-1973,Right_Hand,Right-arm fast-medium,Bangladesh
196,A Singh,19-01-1973,Right_Hand,Right-arm medium-fast,India
197,GJ Bailey,20-01-1973,Right_Hand,Right-arm medium,Australia
198,AB McDonald,21-01-1973,Right_Hand,Right-arm fast-medium,Australia
199,Y Nagar,22-01-1973,Right_Hand,Right-arm offbreak,India
200,SS Shaikh,23-01-1973,Right_Hand,Right-arm medium,India
201,R Ashwin,24-01-1973,Right_Hand,Right-arm offbreak,India
202,Mohammad Ashraful,25-01-1973,Right_Hand,Right-arm offbreak,Bangladesh
203,CA Pujara,26-01-1973,Right_Hand,Legbreak,India
204,OA Shah,27-01-1973,Right_Hand,Right-arm offbreak,England
205,Anirudh Singh,28-01-1973,Left_Hand,Right-arm medium,India
206,Jaskaran Singh,29-01-1973,Right_Hand,Right-arm medium,India
207,AP Tare,30-01-1973,Right_Hand,NULL,India
208,AT Rayudu,31-01-1973,Right_Hand,Right-arm offbreak,India
209,R Sathish,01-02-1973,Right_Hand,Right-arm medium,India
210,R McLaren,02-02-1973,Left_Hand,Right-arm medium-fast,South Africa
211,AA Jhunjhunwala,03-02-1973,Right_Hand,Right-arm offbreak,India
212,P Dogra,04-02-1973,Right_Hand,Legbreak,India
213,A Uniyal,05-02-1973,Left_Hand,Left-arm medium,India
214,MS Bisla,06-02-1973,Right_Hand,NULL,India
215,YA Abdulla,07-02-1973,Left_Hand,Left-arm fast-medium,India
216,EJG Morgan,08-02-1973,Left_Hand,Right-arm medium,England
217,JM Kemp,09-02-1973,Right_Hand,Right-arm fast-medium,South Africa
218,S Tyagi,10-02-1973,Right_Hand,Right-arm medium,India
219,RS Gavaskar,11-02-1973,Left_Hand,Slow left-arm orthodox,India
220,SE Bond,12-02-1973,Right_Hand,Right-arm fast,New Zealand
221,KA Pollard,13-02-1973,Right_Hand,Right-arm medium-fast,West Indies
222,S Ladda,14-02-1973,Right_Hand,Legbreak,India
223,DP Nannes,15-02-1973,Right_Hand,Left-arm fast,Australia
224,MJ Lumb,16-02-1973,Left_Hand,Right-arm medium,England
225,DR Martyn,17-02-1973,Right_Hand,Right-arm medium,Australia
226,S Narwal,18-02-1973,Left_Hand,Right-arm medium,India
227,AB Barath,19-02-1973,Right_Hand,Right-arm offbreak,India
228,Bipul Sharma,20-02-1973,Left_Hand,Slow left-arm orthodox,India
229,FY Fazal,21-02-1973,Left_Hand,Right-arm medium,India
230,AC Voges,22-02-1973,Right_Hand,Slow left-arm orthodox,Australia
231,MD Mishra,23-02-1973,Right_Hand,Right-arm offbreak,India
232,UT Yadav,24-02-1973,Right_Hand,Right-arm fast-medium,India
233,J Theron,25-02-1973,Right_Hand,Right-arm medium-fast,South Africa
234,SJ Srivastava,26-02-1973,Right_Hand,Left-arm fast-medium,India
235,R Sharma,27-02-1973,Right_Hand,Right-arm offbreak,India
236,Mandeep Singh,28-02-1973,Right_Hand,Right-arm medium,India
237,KM Jadhav,01-03-1973,Right_Hand,Right-arm offbreak,India
238,SW Tait,02-03-1973,Right_Hand,Right-arm fast,Australia
239,KB Arun Karthik,03-03-1973,Right_Hand,Legbreak googly,India
240,KAJ Roach,04-03-1973,Right_Hand,Right-arm fast,West Indies
241,PD Collingwood,05-03-1973,Right_Hand,Right-arm medium,England
242,CK Langeveldt,06-03-1973,Right_Hand,Right-arm fast-medium,England
243,VS Malik,07-03-1973,Right_Hand,Right-arm medium,India
244,A Mithun,08-03-1973,Right_Hand,Right-arm medium,India
245,AP Dole,09-03-1973,Right_Hand,Right-arm medium-fast,India
246,AN Ahmed,10-03-1973,Right_Hand,Right-arm medium-fast,India
247,RS Sodhi,11-03-1973,Right_Hand,Right-arm medium,India
248,DE Bollinger,12-03-1973,Left_Hand,Left-arm fast-medium,Australia
249,S Sriram,13-03-1973,Left_Hand,Slow left-arm orthodox,India
250,B Sumanth,14-03-1973,Right_Hand,Right-arm medium-fast,India
251,C Madan,15-03-1973,Right_Hand,NULL,India
252,AG Paunikar,16-03-1973,Right_Hand,NULL,India
253,MR Marsh,17-03-1973,Right_Hand,Right-arm medium,Australia
254,AJ Finch,18-03-1973,Right_Hand,Slow left-arm orthodox,Australia
255,STR Binny,19-03-1973,Right_Hand,Right-arm medium,India
256,Harmeet Singh,20-03-1973,Left_Hand,Slow left-arm orthodox,India
257,IR Jaggi,21-03-1973,Right_Hand,Legbreak googly,India
258,DT Christian,22-03-1973,Right_Hand,Right-arm fast-medium,Australia
259,RV Gomez,23-03-1973,Right_Hand,Right-arm medium,India
260,MA Agarwal,24-03-1973,Right_Hand,NULL,India
261,AUK Pathan,25-03-1973,Right_Hand,Right-arm medium,India
262,UBT Chand,26-03-1973,Right_Hand,Right-arm offbreak,India
263,DJ Jacobs,27-03-1973,Right_Hand,Right-arm medium,South Africa
264,Sunny Singh,28-03-1973,Right_Hand,Right-arm medium-fast,India
265,NJ Rimmington,29-03-1973,Right_Hand,Right-arm fast-medium,Australia
266,AL Menaria,30-03-1973,Left_Hand,Slow left-arm orthodox,India
267,WD Parnell,31-03-1973,Left_Hand,Left-arm medium-fast,South Africa
268,JJ van der Wath,01-04-1973,Right_Hand,Right-arm medium-fast,South Africa
269,R Ninan,02-04-1973,Right_Hand,Right-arm offbreak,India
270,S Aravind,03-04-1973,Left_Hand,Left-arm medium-fast,India
271,MS Wade,04-04-1973,Left_Hand,Right-arm medium,Australia
272,TD Paine,05-04-1973,Right_Hand,Right-arm medium,Australia
273,SB Wagh,06-04-1973,Left_Hand,Left-arm medium-fast,India
274,AC Thomas,07-04-1973,Right_Hand,Right-arm fast-medium,England
275,JEC Franklin,08-04-1973,Left_Hand,Left-arm medium,New Zealand
276,Shakib Al Hasan,09-04-1973,Left_Hand,Slow left-arm orthodox,Bangladesh
277,DH Yagnik,10-04-1973,Left_Hand,NULL,India
278,S Randiv,11-04-1973,Right_Hand,Right-arm offbreak,Sri Lanka
279,BJ Haddin,12-04-1973,Right_Hand,NULL,Australia
280,NLTC Perera,13-04-1973,Left_Hand,Right-arm medium-fast,Sri Lanka
281,NL McCullum,14-04-1973,Right_Hand,Right-arm offbreak,New Zealand
282,JE Taylor,15-04-1973,Right_Hand,Right-arm fast,New Zealand
283,J Syed Mohammad,16-04-1973,Left_Hand,Slow left-arm orthodox,India
284,RN ten Doeschate,17-04-1973,Right_Hand,Right-arm medium-fast,Netherlands
285,TR Birt,18-04-1973,Left_Hand,Right-arm medium,Australia
286,AG Murtaza,19-04-1973,Left_Hand,Slow left-arm orthodox,India
287,Harpreet Singh,20-04-1973,Left_Hand,Right-arm medium,India
288,M Klinger,21-04-1973,Right_Hand,NULL,Australia
289,AC Blizzard,22-04-1973,Left_Hand,Left-arm medium,Australia
290,I Malhotra,23-04-1973,Right_Hand,Right-arm medium-fast,India
291,L Ablish,24-04-1973,Right_Hand,Right-arm medium-fast,India
292,CA Ingram,25-04-1973,Left_Hand,Legbreak,South Africa
293,S Nadeem,26-04-1973,Right_Hand,Slow left-arm orthodox,India
294,P Parameswaran,27-04-1973,Right_Hand,Left-arm medium,India
295,CJ Ferguson,28-04-1973,Right_Hand,Right-arm medium,Australia
296,VR Aaron,29-04-1973,Right_Hand,Right-arm fast,India
297,AA Chavan,30-04-1973,Left_Hand,Slow left-arm orthodox,India
298,ND Doshi,01-05-1973,Right_Hand,Slow left-arm orthodox,India
299,B Kumar,02-05-1973,Right_Hand,Right-arm medium,India
300,Y Gnaneswara Rao,03-05-1973,Right_Hand,Right-arm medium,India
301,S Rana,04-05-1973,Right_Hand,Right-arm medium-fast,India
302,BA Bhatt,05-05-1973,Left_Hand,Slow left-arm orthodox,India
303,F du Plessis,06-05-1973,Right_Hand,Legbreak,South Africa
304,RE Levi,07-05-1973,Right_Hand,Right-arm medium,South Africa
305,GJ Maxwell,08-05-1973,Right_Hand,Right-arm offbreak,Australia
306,SPD Smith,09-05-1973,Right_Hand,Legbreak googly,India
307,MN Samuels,10-05-1973,Right_Hand,Right-arm offbreak,West Indies
308,SA Yadav,11-05-1973,Right_Hand,Right-arm offbreak,India
309,KK Cooper,12-05-1973,Right_Hand,Right-arm medium,West Indies
310,JP Faulkner,13-05-1973,Right_Hand,Left-arm fast-medium,Australia
311,HV Patel,14-05-1973,Right_Hand,Right-arm medium,India
312,DAJ Bracewell,15-05-1973,Right_Hand,Right-arm fast-medium,New Zealand
313,DJ Harris,16-05-1973,Right_Hand,Right-arm medium,Australia
314,Ankit Sharma,17-05-1973,Left_Hand,Slow left-arm orthodox,India
315,SP Narine,18-05-1973,Left_Hand,Right-arm offbreak,West Indies
316,GB Hogg,19-05-1973,Left_Hand,Slow left-arm chinaman,Australia
317,RR Bhatkal,20-05-1973,Right_Hand,Right-arm medium,India
318,CJ McKay,21-05-1973,Right_Hand,Right-arm fast-medium,Australia
319,N Saini,22-05-1973,Right_Hand,NULL,India
320,DA Miller,23-05-1973,Left_Hand,Right-arm offbreak,South Africa
321,Azhar Mahmood,24-05-1973,Right_Hand,Right-arm fast-medium,Pakistan
322,P Negi,25-05-1973,Left_Hand,Slow left-arm orthodox,India
323,RJ Peterson,26-05-1973,Left_Hand,Slow left-arm orthodox,South Africa
324,KMDN Kulasekara,27-05-1973,Right_Hand,Right-arm fast-medium,Sri Lanka
325,A Ashish Reddy,28-05-1973,Right_Hand,Right-arm medium,India
326,V Pratap Singh,29-05-1973,Right_Hand,Right-arm medium,India
327,BB Samantray,30-05-1973,Right_Hand,NULL,India
328,MJ Clarke,31-05-1973,Right_Hand,Slow left-arm orthodox,Australia
329,Gurkeerat Singh,01-06-1973,Right_Hand,Right-arm offbreak,India
330,AP Majumdar,02-06-1973,Right_Hand,Legbreak googly,India
331,PA Reddy,03-06-1973,Right_Hand,Legbreak,India
332,K Upadhyay,04-06-1973,Right_Hand,Right-arm medium,India
333,P Awana,05-06-1973,Right_Hand,Right-arm medium,India
334,AD Russell,06-06-1973,Right_Hand,Right-arm fast,West Indies
335,A Chandila,07-06-1973,Right_Hand,Right-arm offbreak,India
336,CA Lynn,08-06-1973,Right_Hand,Slow left-arm orthodox,Australia
337,Sunny Gupta,09-06-1973,Right_Hand,Right-arm offbreak,India
338,MC Juneja,10-06-1973,Right_Hand,Right-arm offbreak,India
339,KK Nair,11-06-1973,Right_Hand,Right-arm offbreak,India
340,GH Vihari,12-06-1973,Right_Hand,Right-arm offbreak,India
341,MDKJ Perera,13-06-1973,Left_Hand,NULL,Sri Lanka
342,R Shukla,14-06-1973,Right_Hand,Right-arm medium,India
343,B Laughlin,15-06-1973,Right_Hand,Right-arm fast-medium,Australia
344,AS Rajpoot,16-06-1973,Right_Hand,Right-arm medium,India
345,M Vohra,17-06-1973,Right_Hand,Right-arm medium,India
346,JD Unadkat,18-06-1973,Right_Hand,Left-arm medium,India
347,Mohammed Shami,19-06-1973,Right_Hand,Right-arm fast-medium,India
348,BMAJ Mendis,20-06-1973,Left_Hand,Legbreak,Sri Lanka
349,R Rampaul,21-06-1973,Left_Hand,Right-arm fast-medium,West Indies
350,CH Morris,22-06-1973,Right_Hand,Right-arm fast-medium,South Africa
351,SV Samson,23-06-1973,Right_Hand,NULL,India
352,SMSM Senanayake,24-06-1973,Right_Hand,Right-arm offbreak,Sri Lanka
353,BJ Rohrer,25-06-1973,Left_Hand,NULL,Australia
354,KL Rahul,26-06-1973,Right_Hand,NULL,India
355,Q de Kock,27-06-1973,Left_Hand,NULL,South Africa
356,R Dhawan,28-06-1973,Right_Hand,Right-arm medium-fast,India
357,MG Johnson,29-06-1973,Left_Hand,Left-arm fast,Australia
358,LJ Wright,30-06-1973,Right_Hand,Right-arm medium-fast,England
359,IC Pandey,01-07-1973,Right_Hand,Right-arm medium,India
360,CM Gautam,02-07-1973,Right_Hand,NULL,India
361,X Thalaivan Sargunam,03-07-1973,Right_Hand,Right-arm offbreak,India
362,DJG Sammy,04-07-1973,Right_Hand,Right-arm medium-fast,West Indies
363,KW Richardson,05-07-1973,Right_Hand,Right-arm fast-medium,Australia
364,MM Sharma,06-07-1973,Right_Hand,Right-arm medium,India
365,UA Birla,07-07-1973,Right_Hand,Right-arm medium,India
366,Parvez Rasool,08-07-1973,Right_Hand,Right-arm offbreak,India
367,Sandeep Sharma,09-07-1973,Right_Hand,Right-arm medium,India
368,S Kaul,10-07-1973,Right_Hand,Right-arm medium,India
369,Sachin Baby,11-07-1973,Left_Hand,Right-arm offbreak,India
370,PV Tambe,12-07-1973,Right_Hand,Legbreak,India
371,NM Coulter-Nile,13-07-1973,Right_Hand,Right-arm fast,Australia
372,CJ Anderson,14-07-1973,Left_Hand,Left-arm medium-fast,New Zealand
373,NJ Maddinson,15-07-1973,Left_Hand,Slow left-arm orthodox,Australia
374,AR Patel,16-07-1973,Left_Hand,Slow left-arm orthodox,India
375,JJ Bumrah,17-07-1973,Right_Hand,Right-arm medium,India
376,JDS Neesham,18-07-1973,Left_Hand,Right-arm medium,New Zealand
377,TG Southee,19-07-1973,Right_Hand,Right-arm medium-fast,New Zealand
378,MA Starc,20-07-1973,Left_Hand,Left-arm fast,Australia
379,BR Dunk,21-07-1973,Left_Hand,NULL,Australia
380,RR Rossouw,22-07-1973,Left_Hand,Right-arm offbreak,South Africa
381,Shivam Sharma,23-07-1973,Right_Hand,Right-arm offbreak,India
382,YS Chahal,24-07-1973,Right_Hand,Legbreak googly,India
383,LMP Simmons,25-07-1973,Right_Hand,Right-arm medium-fast,West Indies
384,VH Zol,26-07-1973,Left_Hand,Right-arm offbreak,India
385,BCJ Cutting,27-07-1973,Right_Hand,Right-arm fast-medium,Australia
386,Imran Tahir,28-07-1973,Right_Hand,Legbreak googly,India
387,BE Hendricks,29-07-1973,Left_Hand,Left-arm fast-medium,South Africa
388,S Gopal,30-07-1973,Right_Hand,Legbreak,India
